Nanoparticle,Size (nm),Shape,Bacterium,Gram +/-,MIC (μg/mL),Synthesis Method,Reagent Used,Year of study,Link
AgNP,90 longitud         20 ancho,Rod,Klebsiella pneumoniae AWD5,-,320,Chemical reduction,NaOH and 1% trisodium citrate,2018,https://pubmed.ncbi.nlm.nih.gov/29317760
AgNP,90 longitud         20 ancho,Rod,Escherichia coli ATCC 25922,-,340,Chemical reduction,NaOH and 1% trisodium citrate,2018,https://pubmed.ncbi.nlm.nih.gov/29317760
AgNP,9-27,Spherical,Escherichia coli,-,2,Physical method,Synthesized by nanosecond laser ablation in liquid,2014,https://doi.org/10.1007/s12010-014-0934-y 
AgNP,9-27,Spherical,Enterobacter aerogenes,-,3,Physical method,Synthesized by nanosecond laser ablation in liquid,2014,https://doi.org/10.1007/s12010-014-0934-y 
AgNP,9-27,Spherical,Klebsiella pneumoniae,-,4,Physical method,Synthesized by nanosecond laser ablation in liquid,2014,https://doi.org/10.1007/s12010-014-0934-y 
AgNP,9-27,Spherical,Pseudomonas aeruginosa,-,4,Physical method,Synthesized by nanosecond laser ablation in liquid,2014,https://doi.org/10.1007/s12010-014-0934-y 
AgNP,9-27,Spherical,Bacillus subtilis,+,5,Physical method,Synthesized by nanosecond laser ablation in liquid,2014,https://doi.org/10.1007/s12010-014-0934-y 
AgNP,9-27,Spherical,Staphylococcus aureus,+,5.5,Physical method,Synthesized by nanosecond laser ablation in liquid,2014,https://doi.org/10.1007/s12010-014-0934-y 
AgNP,9-27,Spherical,Salmonella typhi,-,5.5,Physical method,Synthesized by nanosecond laser ablation in liquid,2014,https://doi.org/10.1007/s12010-014-0934-y 
AgNP,9-27,Spherical,Salmonella typhimurium,-,6,Physical method,Synthesized by nanosecond laser ablation in liquid,2014,https://doi.org/10.1007/s12010-014-0934-y 
